# rowId|sectionCode|commonName|formula|AR4|AR5|AR6|note
GWP_0001|MAJOR_GHG|Carbon dioxide|CO2|1|1|1|
GWP_0002|MAJOR_GHG|Methane - non-fossil|CH4|25|28|27.0|Use for combustion and other non-fugitive sources.
GWP_0003|MAJOR_GHG|Methane - fossil|CH4||30|29.8|Use for fossil-origin fugitive and process emissions.
GWP_0004|MAJOR_GHG|Nitrous oxide|N2O|298|265|273|
GWP_0005|MAJOR_GHG|Nitrogen trifluoride|NF3|17,200|16,100|17,400|
GWP_0006|MAJOR_GHG|Sulfur hexafluoride|SF6|22,800|23,500|24,300|
GWP_0007|HFC_HFO|HFC-23|CHF3|14,800|12,400|14,600|
GWP_0008|HFC_HFO|HFC-32|CH2F2|675|677|771|
GWP_0009|HFC_HFO|HFC-41|CH3F|92|116|135|
GWP_0010|HFC_HFO|HFC-125|CHF2CF3|3,500|3,170|3,740|
GWP_0011|HFC_HFO|HFC-134|CHF2CHF2|1,100|1,120|1,260|
GWP_0012|HFC_HFO|HFC-134a|CH2FCF3|1,430|1,300|1,530|
GWP_0013|HFC_HFO|HFC-143|CH2FCHF2|353|328|364|
GWP_0014|HFC_HFO|HFC-143a|CH3CF3|4,470|4,800|5,810|
GWP_0015|HFC_HFO|HFC-152|CH2FCH2F|53|16|21.5|
GWP_0016|HFC_HFO|HFC-152a|CH3CHF2|124|138|164|
GWP_0017|HFC_HFO|HFC-161|CH3CH2F|12|4|4.84|
GWP_0018|HFC_HFO|HFC-227ca|CF3CF2CHF2|2,640|2,980||
GWP_0019|HFC_HFO|HFC-227ea|CF3CHFCF3|3,220|3,350|3,600|
GWP_0020|HFC_HFO|HFC-236cb|CH2FCF2CF3|1,340|1,210|1,350|
GWP_0021|HFC_HFO|HFC-236ea|CHF2CHFCF3|1,370|1,330|1,500|
GWP_0022|HFC_HFO|HFC-236fa|CF3CH2CF3|9,810|8,060|8,690|
GWP_0023|HFC_HFO|HFC-245ca|CH2FCF2CHF2|693|716|787|
GWP_0024|HFC_HFO|HFC-245cb|CF3CF2CH3|4,620|4,550||
GWP_0025|HFC_HFO|HFC-245ea|CHF2CHFCHF2|235|255||
GWP_0026|HFC_HFO|HFC-245eb|CH2FCHFCF3|290|325||
GWP_0027|HFC_HFO|HFC-245fa|CHF2CH2CF3|1,030|858|962|
GWP_0028|HFC_HFO|HFC-263fb|CH3CH2CF3||76|74.8|
GWP_0029|HFC_HFO|HFC-272ca|CH3CF2CH3||144|599|
GWP_0030|HFC_HFO|HFC-329p|CHF2CF2CF2CF3||2,360|2,890|
GWP_0031|HFC_HFO|HFC-365mfc|CH3CF2CH2CF3|794|804|914|
GWP_0032|HFC_HFO|HFC-43-10mee|CF3CHFCHFCF2CF3|1,640|1,650|1,600|
GWP_0033|HFC_HFO|HFO-1123|CHF=CF2|||0.005|
GWP_0034|HFC_HFO|HFO-1132a|CH2=CF2||<1|0.052|AR5 treated as HFC.
GWP_0035|HFC_HFO|HFO-1141|CH2=CHF||<1|0.024|AR5 treated as HFC.
GWP_0036|HFC_HFO|HFO-1225ye(Z)|(Z)-CF3CF=CHF||<1|0.344|
GWP_0037|HFC_HFO|HFO-1225ye(E)|(E)-CF3CF=CHF||<1|0.118|
GWP_0038|HFC_HFO|HFO-1234ze(Z)|(Z)-CF3CH=CHF||<1|0.315|
GWP_0039|HFC_HFO|HFO-1234ze(E)|(E)-CF3CH=CHF||<1|1.37|
GWP_0040|HFC_HFO|HFO-1234yf|CF3CF=CH2||<1|0.501|
GWP_0041|HFC_HFO|HFO-1336mzz(E)|(E)-CF3CH=CHCF3|||18|
GWP_0042|HFC_HFO|HFO-1336mzz(Z)|(Z)-CF3CH=CHCF3||2|2.08|
GWP_0043|HFC_HFO|HFO-1243zf|CF3CH=CH2||<1|0.261|
GWP_0044|HFC_HFO|HFO-1345zfc|CF3CF2CH=CH2||<1|0.182|
GWP_0045|HFC_HFO|3,3,4,4,5,5,6,6,6-nonafluorohex-1-ene|n-C4F9CH=CH2||<1|0.204|
GWP_0046|HFC_HFO|3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooct-1-ene|n-C6F13CH=CH2||<1|0.162|
GWP_0047|HFC_HFO|3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodec-1-ene|n-C8F17CH=CH2||<1|0.141|
GWP_0048|HFC_HFO|3,3,3-trifluoro-2-(trifluoromethyl) prop-1-ene|(CF3)2C=CH2|||0.377|
GWP_0049|HFC_HFO|1,1,2,2,3,3-hexafluorocyclopentane|cyc (-CF2CF2CF2CH2CH2-)|||120|
GWP_0050|HFC_HFO|1,1,2,2,3,3,4-heptafluorocyclopentane|cyc (-CF2CF2CF2CHFCH2-)|||231|
GWP_0051|HFC_HFO|1,3,3,4,4,5,5-heptafluorocyclopentene|cyc (-CF2CF2CF2CF=CH-)|||45.1|
GWP_0052|HFC_HFO|(4s,5s)-1,1,2,2,3,3,4,5-octafluorocyclopentane|trans-cyc (-CF2CF2CF2CHFCHF-)|||258|
GWP_0053|HFC_HFO|HFO-1438ezy(E)|(E)-(CF3)2CFCH=CHF|||8.22|
GWP_0054|HFC_HFO|HFO-1447fz|CF3(CF2)2CH=CH2|||0.24|
GWP_0055|HFC_HFO|1,3,3,4,4-pentafluorocyclobutene|cyc (-CH=CFCF2CF2-)|||92.4|
GWP_0056|HFC_HFO|3,3,4,4-tetrafluorocyclobutene|cyc (-CH=CHCF2CF2-)|||25.6|
GWP_0057|FULLY_FLUORINATED|PFC-14|CF4|7,390|6,630|7,380|
GWP_0058|FULLY_FLUORINATED|PFC-116|C2F6|12,200|11,100|12,400|
GWP_0059|FULLY_FLUORINATED|PFC-218|C3F8|8,830|8,900|9,290|
GWP_0060|FULLY_FLUORINATED|PFC-c216|c-C3F6||>17,340|9,200|
GWP_0061|FULLY_FLUORINATED|PFC-C-318 (PFC-318)|cyc (-CF2CF2CF2CF2-)|10,300|9,540|10,200|
GWP_0062|FULLY_FLUORINATED|PFC-31-10|n-C4F10|8,860|9,200|10,000|
GWP_0063|FULLY_FLUORINATED|PFC-41-12|n-C5F12|9,160|8,550|9,220|
GWP_0064|FULLY_FLUORINATED|PFC-51-14|n-C6F14|9,300|7,910|8,620|
GWP_0065|FULLY_FLUORINATED|PFC-61-16|n-C7F16||7,820|8,410|
GWP_0066|FULLY_FLUORINATED|PFC-71-18|n-C8F18||7,620|8,260|
GWP_0067|FULLY_FLUORINATED|PFC-91-18|C10F18|>7,500|7,190|7,480|
GWP_0068|FULLY_FLUORINATED|PFC-1114|CF2=CF2||<1|0.004|
GWP_0069|FULLY_FLUORINATED|PFC-1216|CF3CF=CF2||<1|0.09|
GWP_0070|FULLY_FLUORINATED|Pentadecafluorotriethylamine|N(C2F5)3|||10,300|
GWP_0071|FULLY_FLUORINATED|Perfluorotripropylamine|N(CF2CF2CF3)3|||9,030|
GWP_0072|FULLY_FLUORINATED|Heptacosafluorotributylamine|N(CF2CF2CF2CF3)3|||8,490|
GWP_0073|FULLY_FLUORINATED|Perfluorotripentylamine|N(CF2CF2CF2CF2CF3)3|||7,260|
GWP_0074|FULLY_FLUORINATED|Heptafluoroisobutyronitrile|(CF3)2CFCN|||2,750|
GWP_0075|FULLY_FLUORINATED|Trifluoromethylsulfur pentafluoride|SF5CF3|17,700|17,400|18,500|
GWP_0076|FULLY_FLUORINATED|Sulfuryl fluoride|SO2F2||4,090|4,630|
GWP_0077|FULLY_FLUORINATED|Hexafluoro-cyclobutene|cyc (-CF=CFCF2CF2-)|||126|
GWP_0078|FULLY_FLUORINATED|Octafluoro-cyclopentene (Perfluorocyclopentene)|cyc (-CF=CFCF2CF2CF2-)|2||78.1|
GWP_0079|FULLY_FLUORINATED|Perfluorodecalin (cis)|(Z)-C10F18||7,240|7,800|
GWP_0080|FULLY_FLUORINATED|Perfluorodecalin (trans)|(E)-C10F18||6,290|7,120|
GWP_0081|FULLY_FLUORINATED|1,1,2,3,4,4-hexafluorobuta-1,3-diene|CF2=CFCF=CF2||<1|0.004|
GWP_0082|FULLY_FLUORINATED|Octafluoro-1-butene|CF3CF2CF=CF2||<1|0.102|
GWP_0083|FULLY_FLUORINATED|Octafluoro-2-butene|CF3CF=CFCF3||2|1.97|
GWP_0084|CFC|CFC-11|CCl3F|4,750|4,660|6,230|
GWP_0085|CFC|CFC-12|CCl2F2|10,900|10,200|12,500|
GWP_0086|CFC|CFC-13|CClF3|14,400|13,900|16,200|
GWP_0087|CFC|CFC-112|CCl2FCCl2F|||4,620|
GWP_0088|CFC|CFC-112a|CCl3CClF2|||3,550|
GWP_0089|CFC|CFC-113|CCl2FCClF2|6,130|5,820|6,520|
GWP_0090|CFC|CFC-113a|CCl3CF3|||3,930|
GWP_0091|CFC|CFC-114|CClF2CClF2|10,000|8,590|9,430|
GWP_0092|CFC|CFC-114a|CCl2FCF3|||7,420|
GWP_0093|CFC|CFC-115|CClF2CF3|7,370|7,670|9,600|
GWP_0094|CFC|E-R316c|trans cyc (-CClFCF2CF2CClF-)|||4,230|
GWP_0095|CFC|Z-R316c|cis cyc (-CClFCF2CF2CClF-)|||5,660|
GWP_0096|CFC|CFC 1112|CClF=CClF|||0.126|
GWP_0097|CFC|CFC 1112a|CCl2=CF2|||0.021|
GWP_0098|HCFC|HCFC-21|CHCl2F|151|148|160|
GWP_0099|HCFC|HCFC-22|CHClF2|1,810|1,760|1,960|
GWP_0100|HCFC|HCFC-31|CH2ClF|||79.4|
GWP_0101|HCFC|HCFC-121|CHCl2CCl2F|||58.3|
GWP_0102|HCFC|HCFC-122|CHCl2CClF2||59|56.4|
GWP_0103|HCFC|HCFC-122a|CHClFCCl2F||258|245|
GWP_0104|HCFC|HCFC-123|CHCl2CF3|77|79|90.4|
GWP_0105|HCFC|HCFC-123a|CHClFCClF2||370|395|
GWP_0106|HCFC|HCFC-124|CHClFCF3|609|527|597|
GWP_0107|HCFC|HCFC-124a|CHF2CClF2|||2,070|
GWP_0108|HCFC|HCFC-132|CHClFCHClF|||122|
GWP_0109|HCFC|HCFC-132a|CHCl2CHF2|||70.4|
GWP_0110|HCFC|HCFC-132c|CH2FCCl2F||338|342|
GWP_0111|HCFC|HCFC-133a|CH2ClCF3|||388|
GWP_0112|HCFC|HCFC-141|CH2ClCHClF|||46.6|
GWP_0113|HCFC|HCFC-141b|CH3CCl2F|725|782|860|
GWP_0114|HCFC|HCFC-142b|CH3CClF2|2,310|1,980|2,300|
GWP_0115|HCFC|HCFC-225ca|CHCl2CF2CF3|122|127|137|
GWP_0116|HCFC|HCFC-225cb|CHClFCF2CClF2|595|525|568|
GWP_0117|HCFC|HCFO-1233zd(E)|(E)-CF3CH=CHCl|||3.88|
GWP_0118|HCFC|HCFO-1233zd(Z)|(Z)-CF3CH=CHCl|||0.454|
GWP_0119|HCFC|(E/Z)-1-chloro-2-fluoroethene|(E/Z)-CHCl=CHF|||0.004|
GWP_0120|HCFC|(E)-1-chloro-3,3,3-trifluoroprop-1-ene|trans-CF3CH=CHCl||1||
GWP_0121|CHLOROCARBON|Methyl chloroform|CH3CCl3|146|160|161|
GWP_0122|CHLOROCARBON|Carbon tetrachloride|CCl4|1,400|1,730|2,200|
GWP_0123|CHLOROCARBON|Methyl chloride|CH3Cl|13|12|5.54|
GWP_0124|CHLOROCARBON|Methylene chloride|CH2Cl2|9|9|11.2|
GWP_0125|CHLOROCARBON|Chloroform|CHCl3|31|16|20.6|
GWP_0126|CHLOROCARBON|Chloroethane|CH3CH2Cl|||0.481|
GWP_0127|CHLOROCARBON|1,2-dichloroethane|CH2ClCH2Cl||<1|1.3|
GWP_0128|CHLOROCARBON|1,1,2-trichloroethene|CHCl=CCl2|||0.044|
GWP_0129|CHLOROCARBON|1,1,2,2-tetrachloroethene|CCl2=CCl2|||6.34|
GWP_0130|CHLOROCARBON|2-chloropropane|CH3CHClCH3|||0.18|
GWP_0131|CHLOROCARBON|1-chlorobutane|CH3(CH2)2CH2Cl|||0.007|
GWP_0132|BROMO_HALON|Methyl bromide|CH3Br|5|2|2.43|
GWP_0133|BROMO_HALON|Methylene bromide|CH2Br2|2|1|1.51|
GWP_0134|BROMO_HALON|Halon-1201|CHBrF2|404|376|380|
GWP_0135|BROMO_HALON|Halon-1202|CBr2F2||231|216|
GWP_0136|BROMO_HALON|Halon-1211|CBrClF2|1,890|1,750|1,930|
GWP_0137|BROMO_HALON|Halon-1301|CBrF3|7,140|6,290|7,200|
GWP_0138|BROMO_HALON|Halon-2301|CH2BrCF3||173|177|
GWP_0139|BROMO_HALON|Halon-2311|CHBrClCF3||41|45|
GWP_0140|BROMO_HALON|Halon-2401|CHBrFCF3||184|201|
GWP_0141|BROMO_HALON|Halon-2402|CBrF2CBrF2|1,640|1,470|2,170|
GWP_0142|BROMO_HALON|Tribromomethane|CHBr3|||0.25|
